reporting_year,East Asia & Pacific,Eastern and Southern Africa,Europe & Central Asia,Latin America & Caribbean,Middle East & North Africa,Other High Income Countries,South Asia,Sub-Saharan Africa,Western and Central Africa
1981,1151096575.0,,,55223210.0,,5169603.0,537434395.0,,
1982,1144445054.0,,,59035774.0,,5271189.0,547169535.0,,
1983,1125986330.0,,,71328854.0,,5116165.0,543726777.0,,90797459.0
1984,1082165486.0,,,71797663.0,,4441240.0,540579112.0,,94721872.0
1985,1046322472.0,,,67817126.0,13990937.0,4447024.0,541052677.0,,94340356.0
1986,1022961753.0,,,50133082.0,15067315.0,4163241.0,545477970.0,,98124428.0
1987,983359134.0,,,62460032.0,16041462.0,4203214.0,552233244.0,,102716652.0
1988,918905089.0,,,67951457.0,16324109.0,3805364.0,551295462.0,,105135719.0
1989,1073734707.0,,,66582434.0,16220645.0,3620141.0,558660414.0,,110499722.0
1990,1053516158.0,,14623794.0,73400225.0,14489492.0,3554087.0,568145520.0,277843620.0,113542199.0
1991,1038761714.0,,17228242.0,71875209.0,16322703.0,3761821.0,572041082.0,295550208.0,119964974.0
1992,1009429678.0,,24473879.0,72163156.0,13741766.0,4285272.0,563279692.0,310809066.0,124695281.0
1993,973715474.0,196907417.0,29154673.0,72371360.0,12863958.0,4762684.0,564170535.0,327762155.0,131477136.0
1994,910028194.0,203326969.0,37989189.0,67774147.0,12390500.0,4696649.0,564014554.0,339414734.0,136381196.0
1995,858770416.0,204921738.0,38402853.0,68949002.0,13556541.0,4610223.0,551539113.0,345000456.0,140125431.0
1996,790723407.0,206141748.0,38917767.0,78485164.0,12727951.0,5060970.0,544985596.0,348765432.0,142544690.0
1997,795551533.0,,36473182.0,75657479.0,12384950.0,5166961.0,,355071109.0,144099377.0
1998,822434568.0,217217337.0,36067715.0,72703537.0,11363082.0,5207677.0,,363830056.0,146585967.0
1999,769521134.0,222470087.0,46167740.0,74655573.0,11121156.0,4985795.0,,371850637.0,149414970.0
2000,717859431.0,227146775.0,42801081.0,69832591.0,10147851.0,4696201.0,,379132000.0,
2001,682454468.0,231343601.0,39055312.0,69327414.0,10177745.0,4714966.0,,382397225.0,151050582.0
2002,614641489.0,240309512.0,34670596.0,66056382.0,,4789802.0,582471104.0,386929170.0,146581531.0
2003,558289409.0,242125562.0,33929847.0,65266544.0,9792941.0,5659926.0,575590670.0,388225550.0,146017192.0
2004,493467747.0,233904744.0,29426194.0,60202754.0,9068445.0,5429398.0,557450758.0,377833394.0,143805360.0
2005,409549436.0,230167090.0,29142345.0,57672644.0,8512790.0,5436462.0,538224828.0,374629905.0,144332185.0
2006,402383761.0,228287701.0,25853966.0,47542881.0,8385968.0,5222833.0,524649444.0,373535960.0,145141149.0
2007,361233858.0,226294128.0,23135205.0,45516139.0,8244882.0,5123436.0,503681736.0,372564184.0,
2008,342276218.0,227977103.0,20508788.0,42856822.0,8173967.0,5279554.0,488435015.0,371433406.0,143400625.0
2009,304180404.0,233372626.0,19766019.0,41083270.0,7804182.0,5459743.0,478089861.0,377320758.0,143895930.0
2010,262439206.0,231952859.0,19531819.0,37547421.0,6545985.0,5432633.0,432300646.0,371240019.0,139240349.0
2011,205987744.0,230864447.0,18150563.0,35244329.0,7692026.0,5887684.0,359844355.0,371190554.0,140329448.0
2012,176847635.0,233510697.0,17416547.0,30269880.0,7844316.0,6229622.0,335580298.0,370353674.0,136886902.0
2013,91119489.0,235271055.0,15924408.0,27357715.0,8994346.0,6846710.0,326636589.0,369912535.0,134652628.0
2014,73188834.0,238837910.0,16699861.0,26068953.0,10096670.0,7332058.0,313678688.0,369098983.0,130234541.0
2015,55814195.0,245610852.0,15006286.0,25805193.0,20401599.0,8005510.0,295062930.0,379992267.0,134327813.0
2016,46808409.0,252387174.0,13517347.0,27437098.0,23307760.0,6925942.0,283157112.0,385835579.0,133344257.0
2017,40308373.0,257527292.0,13421670.0,27504037.0,31724823.0,7661311.0,230129619.0,386964077.0,129273915.0
2018,32597635.0,261706210.0,11376863.0,27172278.0,38540188.0,6837301.0,185347541.0,386944833.0,125030143.0
2019,24632433.0,,11181103.0,27695307.0,,6570815.0,160941672.0,391322412.0,123843219.0
2020,,,11355585.0,25468934.0,,3987529.0,,,
2021,,,,30529018.0,,,,,
