reporting_year,World
1981,1980308547
1982,1990339066
1983,1992193677
1984,1959932996
1985,1927851708
1986,1894553303
1987,1884534758
1988,1827994215
1989,1990344571
1990,2007291293
1991,2005783840
1992,1986347147
1993,1976923103
1994,1913072117
1995,1870299918
1996,1807672639
1997,1819485695
1998,1863811489
1999,1835369537
2000,1797095100
2001,1760507845
2002,1696360489
2003,1618205812
2004,1513942916
2005,1417808179
2006,1372422585
2007,1305868651
2008,1268048591
2009,1215261035
2010,1104888848
2011,988774082
2012,934197468
2013,837397562
2014,809329465
2015,787278140
2016,778442005
2017,725041938
2018,676706630
2019,689171340
2020,762212444
2021,749322492
2022,711872433
