reporting_year,World
1981,43.58416335138478
1982,43.18605126983967
1983,42.477816364549895
1984,41.02446734737002
1985,39.61559432488744
1986,38.34024963352835
1987,37.387322255191506
1988,35.66967626490394
1989,38.32506057938075
1990,37.80689239822868
1991,37.3507433904906
1992,36.485326430952455
1993,35.61761779721378
1994,34.27256276899251
1995,32.7921464147263
1996,31.25663864747355
1997,31.05971656882483
1998,31.25677324862191
1999,30.309404241195182
2000,29.134513597823258
2001,28.25206401935048
2002,26.85096309719765
2003,25.53824001865389
2004,23.64723220100401
2005,21.68837409738174
2006,20.888735580146513
2007,19.64485780937867
2008,18.78715975042159
2009,17.898110516646838
2010,16.27791622617871
2011,14.20294445693266
2012,13.252826547854399
2013,11.727619200875889
2014,11.17860470206647
2015,10.79312570319063
2016,10.46935868348473
2017,9.61058511489636
2018,8.85953714119838
2019,8.43503490063956
